Time,Sissili,Soum
2015Q2,190,197.8333333
2015Q3,198,207.1666667
2015Q4,216,183.6666667
2016Q1,212.3333333,187.1666667
2016Q2,214.6666667,204.8333333
2016Q3,193.6666667,219
2016Q4,170.6666667,182
2017Q1,155,210.1666667
2017Q2,209,231.5
2017Q3,240,268.5
2017Q4,277.6666667,190.8333333
2018Q1,257.6666667,230.6666667
2018Q2,236,241.3333333
2018Q3,238.3333333,240.8333333
2018Q4,214.3333333,190.6666667
2019Q1,196.3333333,190.6666667
2019Q2,178.3333333,187.8333333
2019Q3,173,193.5
2019Q4,164.3333333,190.3333333
2020Q1,133.3333333,200.8333333
2020Q2,135,207.6666667
2020Q3,212,231
2020Q4,224,221
2021Q1,171.6666667,230.1666667
2021Q2,250.6666667,240
2021Q3,255.6666667,240
2021Q4,260,279.6666667
2022Q1,287.6666667,335
2022Q2,363,428
